<meta message midi_port port=0 time=0>
<meta message track_name name=u'Drums' time=0>
program_change channel=9 program=16 time=0
control_change channel=9 control=7 value=127 time=0
control_change channel=9 control=10 value=64 time=0
note_on channel=9 note=36 velocity=119 time=768
note_on channel=9 note=49 velocity=104 time=0
note_on channel=9 note=49 velocity=0 time=53
note_on channel=9 note=36 velocity=0 time=1
note_on channel=9 note=36 velocity=119 time=138
note_on channel=9 note=49 velocity=98 time=0
note_on channel=9 note=49 velocity=0 time=41
note_on channel=9 note=36 velocity=0 time=2
note_on channel=9 note=36 velocity=119 time=29
note_on channel=9 note=57 velocity=115 time=0
note_on channel=9 note=36 velocity=0 time=41
note_on channel=9 note=57 velocity=0 time=11
note_on channel=9 note=36 velocity=127 time=20
note_on channel=9 note=49 velocity=98 time=0
note_on channel=9 note=49 velocity=0 time=42
note_on channel=9 note=36 velocity=0 time=4
note_on channel=9 note=36 velocity=119 time=194
note_on channel=9 note=49 velocity=104 time=0
note_on channel=9 note=36 velocity=0 time=39
note_on channel=9 note=49 velocity=0 time=5
note_on channel=9 note=36 velocity=108 time=28
note_on channel=9 note=57 velocity=115 time=0
note_on channel=9 note=36 velocity=0 time=41
note_on channel=9 note=57 velocity=0 time=27
note_on channel=9 note=36 velocity=119 time=4
note_on channel=9 note=49 velocity=98 time=0
note_on channel=9 note=49 velocity=0 time=36
note_on channel=9 note=36 velocity=0 time=10
note_on channel=9 note=36 velocity=125 time=194
note_on channel=9 note=49 velocity=92 time=0
note_on channel=9 note=36 velocity=0 time=41
note_on channel=9 note=49 velocity=0 time=18
note_on channel=9 note=36 velocity=119 time=13
note_on channel=9 note=57 velocity=115 time=0
note_on channel=9 note=36 velocity=0 time=38
note_on channel=9 note=57 velocity=0 time=10
note_on channel=9 note=36 velocity=127 time=24
note_on channel=9 note=49 velocity=92 time=0
note_on channel=9 note=49 velocity=0 time=72
note_on channel=9 note=36 velocity=0 time=22
note_on channel=9 note=36 velocity=127 time=338
note_on channel=9 note=49 velocity=92 time=0
note_on channel=9 note=49 velocity=0 time=50
note_on channel=9 note=36 velocity=0 time=5
note_on channel=9 note=36 velocity=125 time=137
note_on channel=9 note=49 velocity=98 time=0
note_on channel=9 note=49 velocity=0 time=38
note_on channel=9 note=36 velocity=0 time=5
note_on channel=9 note=36 velocity=119 time=29
note_on channel=9 note=57 velocity=104 time=0
note_on channel=9 note=36 velocity=0 time=38
note_on channel=9 note=57 velocity=0 time=5
note_on channel=9 note=36 velocity=125 time=29
note_on channel=9 note=49 velocity=98 time=0
note_on channel=9 note=49 velocity=0 time=36
note_on channel=9 note=36 velocity=0 time=5
note_on channel=9 note=36 velocity=127 time=247
note_on channel=9 note=49 velocity=98 time=0
note_on channel=9 note=36 velocity=0 time=43
note_on channel=9 note=49 velocity=0 time=10
note_on channel=9 note=36 velocity=125 time=19
note_on channel=9 note=57 velocity=115 time=0
note_on channel=9 note=36 velocity=0 time=38
note_on channel=9 note=57 velocity=0 time=4
note_on channel=9 note=36 velocity=127 time=30
note_on channel=9 note=49 velocity=98 time=0
note_on channel=9 note=49 velocity=0 time=37
note_on channel=9 note=36 velocity=0 time=5
note_on channel=9 note=36 velocity=125 time=150
note_on channel=9 note=49 velocity=98 time=0
note_on channel=9 note=36 velocity=0 time=41
note_on channel=9 note=49 velocity=0 time=1
note_on channel=9 note=36 velocity=125 time=30
note_on channel=9 note=57 velocity=115 time=0
note_on channel=9 note=57 velocity=0 time=39
note_on channel=9 note=36 velocity=0 time=2
note_on channel=9 note=36 velocity=127 time=31
note_on channel=9 note=49 velocity=98 time=0
note_on channel=9 note=49 velocity=0 time=45
note_on channel=9 note=36 velocity=0 time=6
note_on channel=9 note=36 velocity=117 time=381
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=30
note_on channel=9 note=42 velocity=64 time=18
note_on channel=9 note=36 velocity=0 time=11
note_on channel=9 note=42 velocity=0 time=7
note_on channel=9 note=40 velocity=121 time=30
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=54 velocity=106 time=0
note_on channel=9 note=42 velocity=0 time=26
note_on channel=9 note=40 velocity=0 time=21
note_on channel=9 note=42 velocity=58 time=1
note_on channel=9 note=42 velocity=0 time=13
note_on channel=9 note=36 velocity=119 time=35
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=54 velocity=0 time=21
note_on channel=9 note=42 velocity=0 time=3
note_on channel=9 note=42 velocity=47 time=24
note_on channel=9 note=36 velocity=0 time=1
note_on channel=9 note=42 velocity=0 time=11
note_on channel=9 note=40 velocity=121 time=36
note_on channel=9 note=42 velocity=119 time=0
note_on channel=9 note=42 velocity=0 time=24
note_on channel=9 note=42 velocity=47 time=24
note_on channel=9 note=40 velocity=0 time=12
note_on channel=9 note=42 velocity=0 time=2
note_on channel=9 note=36 velocity=113 time=34
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=26
note_on channel=9 note=42 velocity=53 time=22
note_on channel=9 note=36 velocity=0 time=7
note_on channel=9 note=42 velocity=0 time=8
note_on channel=9 note=40 velocity=121 time=33
note_on channel=9 note=42 velocity=119 time=0
note_on channel=9 note=54 velocity=111 time=0
note_on channel=9 note=42 velocity=0 time=28
note_on channel=9 note=42 velocity=48 time=20
note_on channel=9 note=54 velocity=0 time=1
note_on channel=9 note=42 velocity=0 time=15
note_on channel=9 note=40 velocity=0 time=1
note_on channel=9 note=36 velocity=108 time=31
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=24
note_on channel=9 note=42 velocity=66 time=24
note_on channel=9 note=36 velocity=0 time=7
note_on channel=9 note=42 velocity=0 time=10
note_on channel=9 note=40 velocity=115 time=31
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=24
